interval,stroke_num,timestamp,spm,async_ms,speed_ms,run_id,run_mean_speed,v_rel,seat1_catch,seat2_catch,seat3_catch,seat4_catch
11. 2026-02-14 07:40,26,2026-02-14 04:09:33.023054361+00:00,30.5,48.7,2.27,88323414_0,2.2928571428571423,0.9900311526479754,2026-02-14 04:09:32.991997480+00:00,2026-02-14 04:09:33.023054361+00:00,2026-02-14 04:09:32.976164579+00:00,2026-02-14 04:09:32.974329710+00:00
11. 2026-02-14 07:40,27,2026-02-14 04:09:34.990031481+00:00,29.7,61.9,2.11,88323414_0,2.2928571428571423,0.9202492211838008,2026-02-14 04:09:35.006893158+00:00,2026-02-14 04:09:34.990031481+00:00,2026-02-14 04:09:34.945041180+00:00,2026-02-14 04:09:34.945452213+00:00
11. 2026-02-14 07:40,28,2026-02-14 04:09:37.012290001+00:00,31.1,132.6,2.29,88323414_0,2.2928571428571423,0.9987538940809971,2026-02-14 04:09:36.943734646+00:00,2026-02-14 04:09:37.012290001+00:00,2026-02-14 04:09:36.879703045+00:00,2026-02-14 04:09:36.897148848+00:00
11. 2026-02-14 07:40,29,2026-02-14 04:09:38.939826012+00:00,31.0,59.0,2.12,88323414_0,2.2928571428571423,0.9246105919003118,2026-02-14 04:09:38.918669939+00:00,2026-02-14 04:09:38.939826012+00:00,2026-02-14 04:09:38.895153284+00:00,2026-02-14 04:09:38.880867720+00:00
11. 2026-02-14 07:40,30,2026-02-14 04:09:40.876652002+00:00,30.4,33.5,2.79,88323414_0,2.2928571428571423,1.2168224299065424,2026-02-14 04:09:40.881305456+00:00,2026-02-14 04:09:40.876652002+00:00,2026-02-14 04:09:40.847829103+00:00,2026-02-14 04:09:40.852593422+00:00
11. 2026-02-14 07:40,31,2026-02-14 04:09:42.848428965+00:00,29.6,108.8,2.23,88323414_0,2.2928571428571423,0.9725856697819317,2026-02-14 04:09:42.739643574+00:00,2026-02-14 04:09:42.848428965+00:00,2026-02-14 04:09:42.803720951+00:00,2026-02-14 04:09:42.827525854+00:00
11. 2026-02-14 07:40,32,2026-02-14 04:09:44.876883507+00:00,31.5,135.8,2.24,88323414_0,2.2928571428571423,0.9769470404984427,2026-02-14 04:09:44.812679291+00:00,2026-02-14 04:09:44.876883507+00:00,2026-02-14 04:09:44.741110086+00:00,2026-02-14 04:09:44.811361790+00:00
11. 2026-02-14 07:40,47,2026-02-14 04:10:15.757109404+00:00,24.4,237.2,2.48,88323414_1,3.118813559322034,0.7951741753165589,2026-02-14 04:10:15.730729342+00:00,2026-02-14 04:10:15.757109404+00:00,2026-02-14 04:10:15.526896954+00:00,2026-02-14 04:10:15.519890308+00:00
11. 2026-02-14 07:40,48,2026-02-14 04:10:18.215220690+00:00,24.6,147.2,2.7,88323414_1,3.118813559322034,0.8657138199010924,2026-02-14 04:10:18.208935738+00:00,2026-02-14 04:10:18.215220690+00:00,2026-02-14 04:10:18.068034172+00:00,2026-02-14 04:10:18.074637651+00:00
11. 2026-02-14 07:40,49,2026-02-14 04:10:20.654209375+00:00,25.1,256.4,3.0,88323414_1,3.118813559322034,0.961904244334547,2026-02-14 04:10:20.580777168+00:00,2026-02-14 04:10:20.654209375+00:00,2026-02-14 04:10:20.397781372+00:00,2026-02-14 04:10:20.414397240+00:00
11. 2026-02-14 07:40,50,2026-02-14 04:10:23.046127081+00:00,24.0,106.2,2.68,88323414_1,3.118813559322034,0.8593011249388621,2026-02-14 04:10:23.042231083+00:00,2026-02-14 04:10:23.046127081+00:00,2026-02-14 04:10:22.965947628+00:00,2026-02-14 04:10:22.939900160+00:00
11. 2026-02-14 07:40,51,2026-02-14 04:10:25.546263218+00:00,25.3,190.5,2.88,88323414_1,3.118813559322034,0.9234280745611652,2026-02-14 04:10:25.486587763+00:00,2026-02-14 04:10:25.546263218+00:00,2026-02-14 04:10:25.366124630+00:00,2026-02-14 04:10:25.355783701+00:00
11. 2026-02-14 07:40,52,2026-02-14 04:10:27.913895607+00:00,25.3,149.3,2.86,88323414_1,3.118813559322034,0.9170153795989349,2026-02-14 04:10:27.869774818+00:00,2026-02-14 04:10:27.913895607+00:00,2026-02-14 04:10:27.786518574+00:00,2026-02-14 04:10:27.764562368+00:00
11. 2026-02-14 07:40,53,2026-02-14 04:10:30.290125847+00:00,25.1,123.7,2.85,88323414_1,3.118813559322034,0.9138090321178197,2026-02-14 04:10:30.226485252+00:00,2026-02-14 04:10:30.290125847+00:00,2026-02-14 04:10:30.166448355+00:00,2026-02-14 04:10:30.183039665+00:00
11. 2026-02-14 07:40,54,2026-02-14 04:10:32.680585623+00:00,24.5,87.1,3.18,88323414_1,3.118813559322034,1.01961849899462,2026-02-14 04:10:32.683982134+00:00,2026-02-14 04:10:32.680585623+00:00,2026-02-14 04:10:32.596871376+00:00,2026-02-14 04:10:32.614453077+00:00
11. 2026-02-14 07:40,55,2026-02-14 04:10:35.128933668+00:00,25.1,75.3,2.79,88323414_1,3.118813559322034,0.8945709472311287,2026-02-14 04:10:35.097332954+00:00,2026-02-14 04:10:35.128933668+00:00,2026-02-14 04:10:35.075325012+00:00,2026-02-14 04:10:35.053661346+00:00
11. 2026-02-14 07:40,56,2026-02-14 04:10:37.520149708+00:00,26.3,112.1,3.0,88323414_1,3.118813559322034,0.961904244334547,2026-02-14 04:10:37.480113268+00:00,2026-02-14 04:10:37.520149708+00:00,2026-02-14 04:10:37.408049107+00:00,2026-02-14 04:10:37.414059162+00:00
11. 2026-02-14 07:40,57,2026-02-14 04:10:39.802422523+00:00,23.8,306.4,2.94,88323414_1,3.118813559322034,0.9426661594478561,2026-02-14 04:10:39.496018410+00:00,2026-02-14 04:10:39.802422523+00:00,2026-02-14 04:10:39.720106840+00:00,2026-02-14 04:10:39.677922964+00:00
11. 2026-02-14 07:40,58,2026-02-14 04:10:42.325694323+00:00,23.3,230.8,2.93,88323414_1,3.118813559322034,0.939459811966741,2026-02-14 04:10:42.411034584+00:00,2026-02-14 04:10:42.325694323+00:00,2026-02-14 04:10:42.271740198+00:00,2026-02-14 04:10:42.180219650+00:00
11. 2026-02-14 07:40,59,2026-02-14 04:10:44.900187492+00:00,26.2,41.5,2.93,88323414_1,3.118813559322034,0.939459811966741,2026-02-14 04:10:44.859716415+00:00,2026-02-14 04:10:44.900187492+00:00,2026-02-14 04:10:44.901212454+00:00,2026-02-14 04:10:44.862283945+00:00
