lag_ms,raw_xcorr,xcorr_norm,rho
-580.0,-10.50616,-0.17287,-0.13535
-570.0,-10.50253,-0.17281,-0.13519
-560.0,-10.50775,-0.17289,-0.13516
-550.0,-10.52060,-0.17311,-0.13528
-540.0,-10.40642,-0.17123,-0.13377
-530.0,-10.27751,-0.16911,-0.13207
-520.0,-10.16045,-0.16718,-0.13052
-510.0,-10.30994,-0.16964,-0.13240
-500.0,-10.45705,-0.17206,-0.13424
-490.0,-10.60508,-0.17450,-0.13610
-480.0,-10.78776,-0.17750,-0.13840
-470.0,-11.00208,-0.18103,-0.14110
-460.0,-11.20652,-0.18439,-0.14368
-450.0,-11.15679,-0.18357,-0.14300
-440.0,-11.23136,-0.18480,-0.14391
-430.0,-11.31202,-0.18613,-0.14491
-420.0,-11.40055,-0.18758,-0.14600
-410.0,-11.47783,-0.18886,-0.14695
-400.0,-11.55321,-0.19010,-0.14787
-390.0,-11.56771,-0.19033,-0.14802
-380.0,-11.27543,-0.18553,-0.14424
-370.0,-10.97850,-0.18064,-0.14040
-360.0,-10.68215,-0.17576,-0.13656
-350.0,-10.42930,-0.17160,-0.13329
-340.0,-10.19255,-0.16771,-0.13023
-330.0,-10.10876,-0.16633,-0.12912
-320.0,-9.91422,-0.16313,-0.12659
-310.0,-9.72466,-0.16001,-0.12413
-300.0,-9.33905,-0.15366,-0.11917
-290.0,-8.22001,-0.13525,-0.10485
-280.0,-7.21149,-0.11866,-0.09196
-270.0,-6.05102,-0.09956,-0.07713
-260.0,-4.86788,-0.08010,-0.06203
-250.0,-3.68771,-0.06068,-0.04698
-240.0,-2.59043,-0.04262,-0.03299
-230.0,-1.50271,-0.02473,-0.01913
-220.0,-0.47198,-0.00777,-0.00601
-210.0,0.03669,0.00060,0.00047
-200.0,0.46838,0.00771,0.00596
-190.0,0.50888,0.00837,0.00647
-180.0,1.35146,0.02224,0.01719
-170.0,2.27772,0.03748,0.02897
-160.0,4.71302,0.07755,0.05987
-150.0,14.69395,0.24177,0.18642
-140.0,24.64965,0.40558,0.31234
-130.0,34.66744,0.57042,0.43870
-120.0,44.07808,0.72526,0.55706
-110.0,53.29700,0.87695,0.67270
-100.0,60.77563,1.00000,0.76670
-90.0,59.96281,0.98663,0.75607
-80.0,58.62036,0.96454,0.73879
-70.0,57.28101,0.94250,0.72181
-60.0,55.75271,0.91735,0.70247
-50.0,50.50687,0.83104,0.63630
-40.0,43.71685,0.71932,0.55061
-30.0,37.00966,0.60896,0.46601
-20.0,30.57610,0.50310,0.38490
-10.0,23.99115,0.39475,0.30192
0.0,17.80662,0.29299,0.22403
10.0,16.01768,0.26355,0.20154
20.0,16.32856,0.26867,0.20546
30.0,16.59721,0.27309,0.20886
40.0,16.46185,0.27086,0.20716
50.0,14.81605,0.24378,0.18646
60.0,13.20603,0.21729,0.16621
70.0,11.53781,0.18984,0.14522
80.0,9.38519,0.15442,0.11813
90.0,7.22167,0.11883,0.09091
100.0,5.42109,0.08920,0.06825
110.0,5.37147,0.08838,0.06763
120.0,5.44015,0.08951,0.06850
130.0,5.61948,0.09246,0.07076
140.0,5.75301,0.09466,0.07245
150.0,4.67074,0.07685,0.05882
160.0,3.54170,0.05828,0.04461
170.0,2.38203,0.03919,0.03000
180.0,0.95481,0.01571,0.01203
190.0,-0.56147,-0.00924,-0.00708
200.0,-2.02163,-0.03326,-0.02548
210.0,-1.91174,-0.03146,-0.02410
220.0,-1.60121,-0.02635,-0.02019
230.0,-1.27172,-0.02092,-0.01604
240.0,-0.96307,-0.01585,-0.01215
250.0,-0.63208,-0.01040,-0.00798
260.0,-0.26797,-0.00441,-0.00338
270.0,0.09938,0.00164,0.00125
280.0,0.35898,0.00591,0.00453
290.0,0.68456,0.01126,0.00865
300.0,1.00062,0.01646,0.01264
310.0,1.22460,0.02015,0.01548
320.0,1.35867,0.02236,0.01718
330.0,1.51603,0.02494,0.01917
340.0,1.67879,0.02762,0.02124
350.0,1.80884,0.02976,0.02289
360.0,1.95394,0.03215,0.02474
370.0,2.08890,0.03437,0.02646
380.0,2.16727,0.03566,0.02746
390.0,2.21781,0.03649,0.02811
400.0,2.25408,0.03709,0.02858
410.0,2.28203,0.03755,0.02894
420.0,2.29858,0.03782,0.02916
430.0,2.32056,0.03818,0.02945
440.0,2.34410,0.03857,0.02976
450.0,2.38655,0.03927,0.03031
460.0,2.37144,0.03902,0.03014
470.0,2.35664,0.03878,0.02999
480.0,2.35452,0.03874,0.03001
490.0,2.35263,0.03871,0.03004
500.0,2.34980,0.03866,0.03006
510.0,2.26831,0.03732,0.02904
520.0,2.17657,0.03581,0.02789
530.0,2.05158,0.03376,0.02632
540.0,1.74646,0.02874,0.02343
550.0,1.43844,0.02367,0.02026
560.0,1.12846,0.01857,0.01678
570.0,0.82675,0.01360,0.01305
580.0,0.52840,0.00869,0.00893
