stroke_number,interval,async_ms,spm,n_unique_gps,v_bar,v_max,v_min,delta_v,delta_v_over_vbar
26,11. 2026-02-14 07:40,48.7,30.5,3,2.24,2.34,2.11,0.23,0.1027
27,11. 2026-02-14 07:40,61.9,29.7,3,2.2533,2.36,2.11,0.25,0.1109
28,11. 2026-02-14 07:40,132.6,31.1,3,2.25,2.34,2.12,0.22,0.0978
29,11. 2026-02-14 07:40,59.0,31.0,3,2.4533,2.79,2.12,0.67,0.2731
30,11. 2026-02-14 07:40,33.5,30.4,3,2.5267,2.79,2.23,0.56,0.2216
31,11. 2026-02-14 07:40,108.8,29.6,3,2.31,2.46,2.23,0.23,0.0996
32,11. 2026-02-14 07:40,135.8,31.5,3,2.4133,2.59,2.24,0.35,0.145
47,11. 2026-02-14 07:40,237.2,24.4,3,2.7633,3.11,2.48,0.63,0.228
48,11. 2026-02-14 07:40,147.2,24.6,3,2.95,3.15,2.7,0.45,0.1525
49,11. 2026-02-14 07:40,256.4,25.1,3,2.95,3.17,2.68,0.49,0.1661
50,11. 2026-02-14 07:40,106.2,24.0,3,2.82,2.9,2.68,0.22,0.078
51,11. 2026-02-14 07:40,190.5,25.3,4,2.9075,3.1,2.79,0.31,0.1066
52,11. 2026-02-14 07:40,149.3,25.3,3,2.9067,3.01,2.85,0.16,0.055
53,11. 2026-02-14 07:40,123.7,25.1,4,3.0225,3.44,2.62,0.82,0.2713
54,11. 2026-02-14 07:40,87.1,24.5,3,3.0533,3.19,2.79,0.4,0.131
55,11. 2026-02-14 07:40,75.3,25.1,3,2.9867,3.17,2.79,0.38,0.1272
56,11. 2026-02-14 07:40,112.1,26.3,3,2.9967,3.05,2.94,0.11,0.0367
57,11. 2026-02-14 07:40,306.4,23.8,3,2.9967,3.12,2.93,0.19,0.0634
58,11. 2026-02-14 07:40,230.8,23.3,3,3.09,3.2,2.93,0.27,0.0874
59,11. 2026-02-14 07:40,41.5,26.2,3,3.0267,3.16,2.93,0.23,0.076
60,11. 2026-02-14 07:40,103.0,24.2,4,3.0575,3.2,2.89,0.31,0.1014
61,11. 2026-02-14 07:40,117.5,24.5,3,3.1067,3.22,2.9,0.32,0.103
62,11. 2026-02-14 07:40,156.4,24.9,3,2.8667,2.9,2.84,0.06,0.0209
63,11. 2026-02-14 07:40,107.9,25.3,4,3.0575,3.42,2.84,0.58,0.1897
64,11. 2026-02-14 07:40,60.7,23.8,3,3.0733,3.25,2.97,0.28,0.0911
65,11. 2026-02-14 07:40,150.4,25.3,4,3.3025,3.69,3.0,0.69,0.2089
66,11. 2026-02-14 07:40,95.4,24.6,3,3.0533,3.18,2.87,0.31,0.1015
