t_rel_s,ref[Seat 4 (Seat 4)],other[Seat 1 (Seat 1)]
-0.9965,0.13726,-0.06485
-0.9865,0.03644,-0.06485
-0.9765,0.03644,-0.06485
-0.9665,0.03644,-0.06485
-0.9565,0.03644,-0.06485
-0.9465,0.03644,-0.06485
-0.9365,0.04103,-0.06485
-0.9265,0.13827,-0.06485
-0.9165,0.13827,-0.06485
-0.9065,0.12913,-0.06485
-0.8965,-0.06458,-0.06485
-0.8865,-0.06458,-0.06485
-0.8765,-0.07523,-0.06485
-0.8665,-0.30110,-0.06485
-0.8565,-0.30110,-0.06487
-0.8465,-0.30075,-0.06523
-0.8365,-0.29352,-0.06523
-0.8265,-0.29352,-0.06523
-0.8165,-0.27561,-0.06523
-0.8065,0.10390,-0.06523
-0.7965,0.10390,-0.06523
-0.7865,0.10452,-0.06523
-0.7765,0.11832,-0.06523
-0.7665,0.11907,-0.06523
-0.7565,0.11907,-0.06523
-0.7465,0.01200,-0.06523
-0.7365,0.00577,-0.06523
-0.7265,0.00577,-0.06523
-0.7165,0.00577,-0.06523
-0.7065,0.00577,-0.06523
-0.6965,0.00568,-0.06523
-0.6865,0.00381,-0.06523
-0.6765,0.00381,-0.06523
-0.6665,0.00381,-0.06523
-0.6565,0.00381,-0.06523
-0.6465,0.00381,-0.06170
-0.6365,0.00381,0.01573
-0.6265,0.00381,0.06987
-0.6165,0.00381,0.06846
-0.6065,0.00421,0.03875
-0.5965,0.01268,0.03875
-0.5865,0.01268,0.03875
-0.5765,0.01268,0.03875
-0.5665,0.01268,0.03875
-0.5565,0.01268,0.03875
-0.5465,0.01268,0.03875
-0.5365,0.01268,0.03875
-0.5265,0.01268,-0.21459
-0.5165,0.01268,-0.23801
-0.5065,0.01268,-0.26097
-0.4965,-0.00110,-0.26224
-0.4865,-0.00190,-0.26224
-0.4765,-0.00190,-0.26224
-0.4665,-0.00190,-0.26224
-0.4565,-0.00205,-0.26171
-0.4465,-0.00515,-0.25065
-0.4365,-0.00515,-0.25065
-0.4265,-0.00515,-0.25065
-0.4165,-0.00592,-0.25065
-0.4065,-0.00597,-0.25065
-0.3965,-0.00597,-0.25065
-0.3865,-0.00597,-0.25065
-0.3765,-0.00597,-0.25065
-0.3665,-0.00597,-0.25065
-0.3565,-0.02439,-0.25927
-0.3465,-0.02451,-0.27150
-0.3365,-0.02705,-0.27150
-0.3265,-0.02705,-0.27150
-0.3165,-0.02705,-0.27150
-0.3065,-0.02705,-0.27150
-0.2965,-0.02705,-0.27150
-0.2865,-0.02705,-0.27150
-0.2765,-0.02705,-0.27150
-0.2665,-0.02705,-0.27150
-0.2565,-0.02705,-0.27150
-0.2465,-0.02622,-0.27150
-0.2365,-0.02591,-0.27150
-0.2265,-0.02591,-0.27150
-0.2165,-0.02579,-0.27150
-0.2065,-0.02311,-0.27150
-0.1965,-0.02311,-0.27150
-0.1865,-0.02316,-0.27150
-0.1765,-0.02439,-0.27150
-0.1665,-0.02458,-0.25653
-0.1565,-0.02494,-0.25627
-0.1465,-0.03249,-0.25043
-0.1365,-0.03249,-0.24385
-0.1265,-0.03249,-0.24385
-0.1165,-0.03249,-0.24385
-0.1065,-0.03249,-0.24336
-0.0965,-0.03249,-0.23316
-0.0865,-0.03249,-0.23316
-0.0765,-0.03249,-0.23316
-0.0665,-0.03257,-0.23316
-0.0565,-0.03423,-0.23316
-0.0465,-0.03423,-0.23307
-0.0365,-0.03423,-0.23128
-0.0265,-0.03423,-0.23128
-0.0165,-0.03423,-0.23128
-0.0065,-0.03423,-0.23128
0.0035,-0.03423,-0.23128
0.0135,-0.03423,-0.23128
0.0235,-0.03423,-0.23128
0.0335,-0.03423,-0.23128
0.0435,-0.04672,-0.23128
0.0535,-0.05359,-0.23128
0.0635,-0.05359,-0.16199
0.0735,-0.05359,-0.16199
0.0835,-0.05359,-0.16199
0.0935,-0.05359,-0.16199
0.1035,-0.05359,-0.16199
0.1135,-0.05359,-0.16199
0.1235,-0.05359,-0.16199
0.1335,-0.05359,-0.16199
0.1435,-0.02925,-0.14978
0.1535,0.48770,0.10949
0.1635,0.48679,0.10949
0.1735,0.48674,0.10949
0.1835,0.48674,0.10949
0.1935,0.48674,0.10949
0.2035,0.48674,0.10949
0.2135,0.48674,0.10949
0.2235,0.48674,0.10949
0.2335,0.48674,0.10949
0.2435,0.48674,0.10949
0.2535,1.11952,0.10949
0.2635,1.22335,0.10949
0.2735,1.22335,0.10949
0.2835,1.22335,0.21368
0.2935,1.22335,2.53089
0.3035,1.22335,2.50006
0.3135,1.22335,2.50172
0.3235,1.22335,2.73316
0.3335,1.25258,2.73316
0.3435,1.94671,2.61013
0.3535,3.57013,-0.12742
0.3635,3.65950,-0.27812
0.3735,3.65950,-0.27812
0.3835,3.65950,-0.21700
0.3935,3.65950,-0.21344
0.4035,3.65950,-0.21344
0.4135,3.65950,-0.20302
0.4235,3.65950,0.01837
