t_rel_s,ref[Seat 4 (Seat 4)],other[Seat 3 (Seat 3)]
-0.9918,0.16084,-0.09061
-0.9818,0.08405,0.03006
-0.9718,0.06943,0.08952
-0.9618,0.06943,0.09360
-0.9518,0.06943,0.09360
-0.9418,0.06943,0.09360
-0.9318,0.12371,0.09360
-0.9218,0.12910,0.12597
-0.9118,0.12910,0.12919
-0.9018,0.12928,0.12919
-0.8918,0.14767,0.12919
-0.8818,0.14767,0.12919
-0.8718,0.14767,0.12843
-0.8618,0.14767,0.04991
-0.8518,0.14706,0.04986
-0.8418,0.08440,0.04506
-0.8318,0.08401,0.04506
-0.8218,0.04314,0.04506
-0.8118,0.03945,0.07131
-0.8018,0.03945,0.07131
-0.7918,0.03945,0.07170
-0.7818,0.04021,0.11191
-0.7718,0.11928,0.11191
-0.7618,0.12643,0.11191
-0.7518,0.12675,0.11211
-0.7418,0.16083,0.13288
-0.7318,0.16391,0.13475
-0.7218,0.16391,0.13475
-0.7118,0.16391,0.13475
-0.7018,0.16558,0.13309
-0.6918,0.34051,-0.04137
-0.6818,0.35634,-0.05715
-0.6718,0.35634,-0.05715
-0.6618,0.35634,-0.05715
-0.6518,0.17950,-0.00618
-0.6418,0.16192,-0.00111
-0.6318,0.16192,-0.00056
-0.6218,0.16192,0.05707
-0.6118,0.16171,0.05707
-0.6018,0.14000,0.05707
-0.5918,0.13804,0.05707
-0.5818,0.13732,0.05707
-0.5718,0.06170,0.05707
-0.5618,0.05486,0.06792
-0.5518,0.05486,0.06900
-0.5418,0.05464,0.06615
-0.5318,0.03204,-0.22954
-0.5218,0.03204,-0.22954
-0.5118,0.03204,-0.22954
-0.5018,-0.03452,-0.55057
-0.4918,-0.04114,-0.58249
-0.4818,-0.04114,-0.58249
-0.4718,-0.04584,-0.58597
-0.4618,-0.53783,-0.95046
-0.4518,-0.77915,-1.12924
-0.4418,-0.77915,-1.12924
-0.4318,-0.77915,-1.12924
-0.4218,-0.77915,-1.12924
-0.4118,-1.19357,-2.29714
-0.4018,-1.23480,-2.41333
-0.3918,-1.24594,-2.41333
-0.3818,-2.41755,-2.41333
-0.3718,-2.52355,-1.16875
-0.3618,-2.52355,-1.04494
-0.3518,-2.53072,-1.04494
-0.3418,-3.28436,-1.04494
-0.3318,-3.35254,-1.04494
-0.3218,-3.35254,-1.04494
-0.3118,-3.35254,-1.04494
-0.3018,-3.35254,-1.04494
-0.2918,-3.25104,-1.92682
-0.2818,-3.24094,-2.01455
-0.2718,-3.24094,-3.11526
-0.2618,-3.24094,-4.07951
-0.2518,-3.24094,-4.07951
-0.2418,-3.24094,-4.07951
-0.2318,-3.24094,-4.07951
-0.2218,-3.24094,-4.07951
-0.2118,-3.20614,0.43581
-0.2018,0.41801,0.43581
-0.1918,0.41801,0.43581
-0.1818,0.41801,0.43380
-0.1718,0.41801,0.22477
-0.1618,0.41466,0.22477
-0.1518,0.06177,0.22477
-0.1418,0.02984,0.15750
-0.1318,0.03031,0.15750
-0.1218,0.07946,0.15750
-0.1118,0.07946,0.15750
-0.1018,0.07946,0.15750
-0.0918,0.08289,0.15750
-0.0818,0.08323,0.02419
-0.0718,0.08323,0.02419
-0.0618,0.08323,0.02419
-0.0518,0.08366,0.02422
-0.0418,0.08236,0.02678
-0.0318,0.08224,0.02817
-0.0218,0.08224,0.14954
-0.0118,0.08108,0.14701
-0.0018,-0.04009,-0.11744
0.0082,-0.04009,-0.11744
0.0182,-0.04009,-0.11725
0.0282,-0.04301,-0.09806
0.0382,-0.34772,-0.09806
0.0482,-0.34772,-0.09806
0.0582,-0.34274,-0.09632
0.0682,0.17623,0.08504
0.0782,0.17623,0.08504
0.0882,0.17623,0.08504
0.0982,0.17623,0.08504
0.1082,0.17576,0.08504
0.1182,0.12609,0.08504
0.1282,0.11663,0.08366
0.1382,0.11663,-0.06219
0.1482,-0.05593,-0.08880
0.1582,-0.05593,-0.08880
0.1682,-0.05593,-0.08880
0.1782,-0.05086,-0.09019
0.1882,-0.04529,-0.09171
0.1982,-0.03972,-0.09324
0.2082,-0.03420,-0.09475
0.2182,-0.03420,-0.09475
0.2282,-0.04017,-0.09475
0.2382,-0.04077,-0.08316
0.2482,-0.04077,-0.08316
0.2582,-0.04106,-0.08323
0.2682,-0.07211,-0.09022
0.2782,-0.07211,-0.09022
0.2882,-0.07211,-0.09022
0.2982,-0.07213,-0.09025
0.3082,-0.07404,-0.09399
0.3182,-0.07404,-0.09399
0.3282,-0.07404,-0.09399
0.3382,-0.07404,-0.09399
0.3482,-0.07403,-0.09405
0.3582,-0.07381,-0.09998
0.3682,-0.07379,-0.10051
0.3782,-0.07379,-0.10051
0.3882,-0.06625,-0.13007
0.3982,-0.06550,-0.13302
0.4082,-0.06550,-0.13302
0.4182,-0.06556,-0.13299
0.4282,-0.07219,-0.13065
0.4382,-0.07279,-0.13044
0.4482,-0.07279,-0.13044
0.4582,-0.07277,-0.13045
0.4682,-0.07154,-0.13195
0.4782,-0.07142,-0.14986
0.4882,-0.05912,-0.14986
0.4982,-0.05912,-0.14986
0.5082,-0.05912,-0.12734
0.5182,-0.05912,-0.12510
0.5282,-0.06209,-0.12510
0.5382,-0.06209,-0.12510
0.5482,-0.06190,-0.12824
0.5582,-0.06187,-0.12880
0.5682,-0.06187,-0.12880
0.5782,-0.06187,-0.12880
0.5882,-0.06205,-0.12840
0.5982,-0.08024,-0.08646
0.6082,-0.08024,-0.08646
0.6182,-0.08024,-0.08646
0.6282,-0.08024,-0.08646
0.6382,-0.09418,-0.09608
0.6482,-0.09418,-0.09608
0.6582,-0.09418,-0.09608
0.6682,-0.10185,-0.07422
0.6782,-0.10262,-0.07204
0.6882,-0.10262,-0.07204
0.6982,-0.10262,-0.07204
0.7082,-0.12225,-0.07204
0.7182,-0.12853,-0.06867
0.7282,-0.12853,-0.06824
0.7382,-0.12853,-0.06824
0.7482,-0.12868,-0.06819
0.7582,-0.14432,-0.06292
0.7682,-0.14432,-0.06292
0.7782,-0.14406,-0.06275
0.7882,-0.11627,-0.04474
0.7982,-0.11375,-0.04311
0.8082,-0.11375,-0.04311
0.8182,-0.11375,-0.04311
0.8282,-0.11464,-0.04325
0.8382,-0.20807,-0.05784
0.8482,-0.20807,-0.05784
0.8582,-0.20807,-0.05784
0.8682,-0.20642,-0.05765
0.8782,-0.03093,-0.03772
0.8882,-0.01503,-0.03591
0.8982,-0.01503,-0.03591
0.9082,1.57561,-0.01498
0.9182,1.57561,-0.01498
0.9282,1.57561,-0.01498
0.9382,1.57561,-0.01498
0.9482,1.58036,-0.01166
0.9582,2.08587,0.34100
0.9682,2.13167,0.37295
0.9782,2.13167,0.37295
0.9882,2.14537,0.38181
0.9982,3.60413,1.32462
